Brand,Source,Status,Relevance,Origin,Holder,Holder Country,Number,App. Date,Image class,Nice CI.,Image
MG PARTNERS,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «MG Partners»,KZ,94812,2020-01-22,,"37, 38",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94812&IMG=48/12/94812-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
A,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «SMB-HERMES»,KZ,94797,2020-01-22,,"34, 35, 37, 45",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94797&IMG=47/97/94797-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
AUSTEDO,KZ TM,Active,8,KZ,"Оспэкс Фармасьютикалс, Инк.",,94795,2020-01-22,,7,https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94795&IMG=47/95/94795-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
FORNARINA,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «RMS GROUP»,KZ,94794,2020-01-22,,"37, 45",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94794&IMG=47/94/94794-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
RADIANT,KZ TM,Active,8,KZ,"Доу АгроСайансиз ЛЛК, компания штата Дэлавер с ограниченной отве...",,94734,2020-01-20,,7,https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94734&IMG=47/34/94734-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
РАДИАНТ,KZ TM,Active,8,KZ,"Доу АгроСайансиз ЛЛК, компания штата Дэлавер с ограниченной отве...",,94733,2020-01-20,,7,https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94733&IMG=47/33/94733-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
Hausberg,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «QAZ GOLDMAN»,KZ,94729,2020-01-20,,"9, 13, 23",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94729&IMG=47/29/94729-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
Austedo,KZ TM,Active,8,KZ,"Оспэкс Фармасьютикалс, Инк.",,94728,2020-01-20,,7,https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94728&IMG=47/28/94728-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
Kinderly play & learn,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «ИНЖЕНЕРНАЯ КОМПАНИ...,KZ,94726,2020-01-20,"VC.26.04, VC.24.15","27, 30, 43",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94726&IMG=47/26/94726-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
Lorflex Лорфлекс,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «Pharmaline»,KZ,94757,2020-01-20,,7,https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94757&IMG=47/57/94757-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
MARY KAY DAILY BENEFITS,KZ TM,Active,8,KZ,Мэри Кей Инк.,,94756,2020-01-20,,5,https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94756&IMG=47/56/94756-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
ZooMixx РАХАТ,KZ TM,Active,8,KZ,Акционерное общество «Рахат»,KZ,94700,2020-01-17,,"31, 32",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94700&IMG=47/00/94700-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
ALIANA,KZ TM,Active,8,KZ,Умбеталиева Салтанат Мухтархановна,KZ,94715,2020-01-17,,"22, 26, 27",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94715&IMG=47/15/94715-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
БОЛЬШОЙ КИТ ХОРОШЕГО ДОЛЖНО БЫТЬ МНОГО,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «ПЕРВЫЙ ПИВЗАВОД»,KZ,94710,2020-01-17,,"34, 37, 45",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94710&IMG=47/10/94710-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
No Verbal Elements,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «Молочный завод «Со...,KZ,94712,2020-01-17,"VC.19.07, VC.29.01","18, 31, 37",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94712&IMG=47/12/94712-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
ZooMixx РАХАТ,KZ TM,Active,8,KZ,Акционерное общество «Рахат»,KZ,94711,2020-01-17,VC.29.01,"31, 32",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94711&IMG=47/11/94711-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
ZooMixx РАХАТ,KZ TM,Active,8,KZ,Акционерное общество «Рахат»,KZ,94707,2020-01-17,"VC.04.01, VC.04.02, VC.04.03, VC.04.05, VC.04.07, VC.04.06, VC.04.15, VC.04.09, VC.04.30","31, 32",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94707&IMG=47/07/94707-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
THORMIX,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «Stark Chemie» (Ста...,KZ,94706,2020-01-17,,"19, 37, 39",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94706&IMG=47/06/94706-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
ZooMixx РАХАТ,KZ TM,Active,8,KZ,Акционерное общество «Рахат»,KZ,94705,2020-01-17,"VC.04.01, VC.04.02, VC.04.03, VC.04.05, VC.04.07, VC.04.06, VC.04.15, VC.04.09, VC.04.30, VC.29.01","31, 32",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94705&IMG=47/05/94705-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
Көк Төбе,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «Парк Кок Тобе»,KZ,94704,2020-01-17,,"37, 41, 43, 45",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94704&IMG=47/04/94704-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
No Verbal Elements,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «ПЕРВЫЙ ПИВЗАВОД»,KZ,94709,2020-01-17,,"34, 37, 45",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94709&IMG=47/09/94709-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
No Verbal Elements,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «ПЕРВЫЙ ПИВЗАВОД»,KZ,94708,2020-01-17,"VC.28.03, VC.19.07",34,https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94708&IMG=47/08/94708-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
ПЕЛЬМИШКИ,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «АЛМОЛ»,KZ,94688,2020-01-17,,"31, 32",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94688&IMG=46/88/94688-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
БУЛЬМИШКИ,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «АЛМОЛ»,KZ,94689,2020-01-17,,"31, 32",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94689&IMG=46/89/94689-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
ZooMixx РАХАТ,KZ TM,Active,8,KZ,Акционерное общество «Рахат»,KZ,94698,2020-01-17,VC.29.01,"31, 32",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94698&IMG=46/98/94698-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
ZooMixx РАХАТ,KZ TM,Active,8,KZ,Акционерное общество «Рахат»,KZ,94697,2020-01-17,,"31, 32",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94697&IMG=46/97/94697-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
ZooMixx РАХАТ,KZ TM,Active,8,KZ,Акционерное общество «Рахат»,KZ,94696,2020-01-17,,"31, 32",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94696&IMG=46/96/94696-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
УШКИ,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «АЛМОЛ»,KZ,94691,2020-01-17,,32,https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94691&IMG=46/91/94691-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
ПЕЛЬМИШУТКИ,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «АЛМОЛ»,KZ,94690,2020-01-17,,"31, 32",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94690&IMG=46/90/94690-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
ХЛОПЦЫ,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «АЛМОЛ»,KZ,94692,2020-01-17,,32,https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94692&IMG=46/92/94692-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
L Lamer,KZ TM,Active,8,KZ,НСАР ДЖЕНЕРАЛ ТРЭЙДИНГ (ЭЛ. ЭЛ.СИ),AE,94668,2020-01-16,,36,https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94668&IMG=46/68/94668-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
DO DARYN. ONLINE,KZ TM,Active,8,KZ,Куатбаев Айбек Нурланұлы,KZ,94685,2020-01-16,,"37, 43, 44",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94685&IMG=46/85/94685-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
Pangeya,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «Smart Partners Gro...,KZ,94684,2020-01-16,,"5, 37",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94684&IMG=46/84/94684-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
ДЕД ПЧЕЛОВОД,KZ TM,Active,8,KZ,Индивидуальный предприниматель Кадыр Д.Е.,KZ,94676,2020-01-16,VC.26.11,"32, 37",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94676&IMG=46/76/94676-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
HOME LIGHT homelight.kz,KZ TM,Active,8,KZ,Индивидуальный предприниматель Ахмедова Зульфия Валиевна,KZ,94675,2020-01-16,,"22, 23, 37",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94675&IMG=46/75/94675-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
DUDAR,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «Дудар»,KZ,94674,2020-01-16,,"5, 18, 37",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94674&IMG=46/74/94674-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
IZUMRUD ШКОЛА ГИМНАСТИКИ МЕРУЕРТ БАЛГИНБАЕВОЙ,KZ TM,Active,8,KZ,Индивидуальный предприниматель «Балгинбаева Меруерт Тулегеновна»,KZ,94678,2020-01-16,,"37, 41, 43",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94678&IMG=46/78/94678-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
BestSender,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «BESTSENDER» (БЕСТС...,KZ,94673,2020-01-16,,41,https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94673&IMG=46/73/94673-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
Гармония Вкуса,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «Гармония вкуса»,KZ,94670,2020-01-16,VC.26.11,"31, 32",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94670&IMG=46/70/94670-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
ВЫБОР ШЕФА,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «HOLI Food»,KZ,94665,2020-01-15,,"31, 32, 33, 34, 35",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94665&IMG=46/65/94665-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
KZQSD,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «KZQSD»,KZ,94667,2020-01-15,,"37, 38, 40, 41, 43, 45",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94667&IMG=46/67/94667-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
DIGITOUCH,KZ TM,Active,8,KZ,Сугатов Владимир Валентинович,KZ,94657,2020-01-15,,"11, 37, 39",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94657&IMG=46/57/94657-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
DK Dr. Kang,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «Koreanshop»,KZ,94642,2020-01-14,,5,https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94642&IMG=46/42/94642-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
IK,KZ TM,Active,8,KZ,Каирбек Индира,KZ,94641,2020-01-14,"VC.26.13, VC.26.11","18, 20, 27, 37",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94641&IMG=46/41/94641-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
KASPI ЖҰМА,KZ TM,Active,8,KZ,Акционерное общество «Kaspi Bank»,KZ,94639,2020-01-14,"VC.28.01, VC.28.03, VC.28.05, VC.28.07, VC.28.09, VC.28.11, VC.28.17, VC.28.19, VC.28.20, VC.28.06, VC.28.18","37, 41, 44",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94639&IMG=46/39/94639-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
«МАДУ»,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «Производственно-ко...,KZ,94633,2020-01-14,,"31, 32, 37",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94633&IMG=46/33/94633-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
New Formula GOLDEN TASTE,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «New Formula» (Нью ...,KZ,94637,2020-01-14,,"32, 37",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94637&IMG=46/37/94637-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
REMER,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «Phaeton.KZ»,KZ,94635,2020-01-14,,"3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 19, 22, 24, 29",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94635&IMG=46/35/94635-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
БУ ЕТЬ ЛАВКА ДОМАШНЕЙ ЕДЫ,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «Food Express Air»,KZ,94651,2020-01-14,"VC.26.04, VC.08.07","32, 42, 45",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94651&IMG=46/51/94651-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
от дяди Паши,KZ TM,Active,8,KZ,"Индивидуальный предприниматель «Шияновский П.Н.», Шияновский Пав...",KZ,94650,2020-01-14,,"31, 32, 37",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94650&IMG=46/50/94650-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
KAZAKHSTAN FISH COMPANY RADOVNYA КАЗАХСКАЯ РЫБНАЯ КОМПАНИЯ,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «Балык Астана»,KZ,94600,2020-01-13,"VC.18.01, VC.18.02, VC.18.04, VC.18.05, VC.18.07, VC.18.03","31, 37, 42",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94600&IMG=46/00/94600-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
ERINEX,KZ TM,Active,8,KZ,Новартис АГ,CH,94603,2020-01-13,,7,https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94603&IMG=46/03/94603-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
Иринэкс,KZ TM,Active,8,KZ,Новартис АГ,CH,94601,2020-01-13,,7,https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94601&IMG=46/01/94601-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
iNFARM DÁRIHANA,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «INPHARM (ИНФАРМ)»,KZ,94620,2020-01-13,,"5, 7, 11, 12, 13, 18, 27, 31, 32, 34, 41, 43, 45",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94620&IMG=46/20/94620-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
KIM berry,KZ TM,Active,8,KZ,Ким Татьяна Вячеславовна,KZ,94626,2020-01-13,VC.29.01,27,https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94626&IMG=46/26/94626-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
Fit Spirit,KZ TM,Active,8,KZ,Сарсембаев Ержан Куралович,KZ,94623,2020-01-13,,"37, 43",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94623&IMG=46/23/94623-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
Сэлтфар,KZ TM,Active,8,KZ,Сэлтфар ЛТД,GB,94611,2020-01-13,,"7, 37",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94611&IMG=46/11/94611-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
Treugolnik,KZ TM,Active,8,KZ,Индивидуальный предприниматель Молдагалиев Руслан Айбекович,KZ,94608,2020-01-13,,45,https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94608&IMG=46/08/94608-th.jpg&TYPE=jpg&qi=1-5nXevOOFUvGzpBbNjiQjRdHYlDm1gxO0ONx5tchIAoE=
